Time,State,Lox High,Fuel High,Lox Dome,Fuel Dome,Lox Tank1,Lox Tank2,Fuel Tank1,Fuel Tank2,Pneumatics,Lox Inlet,Fuel Inlet,Fuel Injector,Chamber1,Chamber2
2432256.0,5.0,1497.89,1673.26,197.45,340.06,352.16,369.74,346.35,-75.83,-72.93,510.02,0.0,0.12,0.12,0.0
2432613.0,5.0,1682.21,-364.27,677.84,339.91,352.7,369.24,346.67,-76.6,-73.07,509.81,0.0,0.12,0.12,0.0
2432950.0,5.0,1686.8,-363.43,677.7,-74.18,352.68,370.3,347.21,-75.46,349.3,509.73,0.0,0.12,0.12,0.0
2433288.0,5.0,1495.6,-364.37,676.99,340.25,352.1,369.88,346.25,-75.73,-72.6,510.02,0.0,0.12,0.12,0.0
2433624.0,5.0,1682.59,-365.4,677.26,339.54,351.92,368.6,346.27,357.13,-73.01,509.83,0.0,0.16,0.12,0.0
2433963.0,5.0,1687.09,-366.06,677.62,-74.96,352.34,370.36,347.24,-75.18,-72.27,509.79,0.0,0.12,0.12,0.0
2434301.0,5.0,1500.38,1671.29,197.92,339.91,351.78,369.62,345.47,-75.79,349.24,510.2,0.0,0.12,0.12,0.0
2434637.0,5.0,-393.74,1753.27,197.57,339.7,352.16,368.98,346.35,-76.16,349.48,509.44,0.0,0.12,0.12,0.0
2434975.0,5.0,1685.08,-366.71,197.65,339.64,352.84,369.18,346.58,-75.91,332.36,509.16,0.0,0.12,0.12,0.0
2435312.0,5.0,1686.23,-363.62,677.74,-74.18,352.34,-128.64,347.76,-75.54,-72.5,509.73,0.0,0.12,0.12,0.0
2435647.0,5.0,1499.52,-364.65,677.13,339.93,352.44,370.34,346.31,-75.31,349.63,510.16,0.0,0.12,0.12,0.0
2435985.0,5.0,1683.64,1758.71,198.1,339.89,352.12,369.12,346.12,-75.68,-72.52,510.2,0.0,0.12,0.12,0.08
2436323.0,5.0,1685.08,-364.18,677.38,340.08,352.74,369.84,346.77,-76.08,-72.87,52.18,0.0,0.12,0.12,0.0
2436660.0,5.0,1686.51,-361.36,677.72,-74.39,351.8,370.48,347.26,357.42,349.05,510.06,0.0,0.12,0.12,0.0
2436999.0,5.0,-387.34,1755.14,677.4,339.24,351.76,368.8,345.91,357.4,349.28,510.41,0.0,0.12,0.19,0.0
2437336.0,5.0,1686.23,-363.33,677.76,339.98,351.96,369.72,346.82,357.32,-73.07,509.28,0.0,0.12,0.12,0.0
2437674.0,5.0,1687.28,-362.86,677.5,-74.94,352.42,370.94,347.68,-75.79,-72.58,509.42,0.0,0.12,0.12,0.0
2438008.0,5.0,1501.91,-580.06,198.12,340.04,352.18,369.34,346.08,-76.4,-73.38,509.14,0.0,0.12,0.12,0.0
2438343.0,5.0,-390.11,1753.08,197.65,339.62,352.1,369.96,346.67,-75.75,-72.7,509.69,0.0,0.12,0.12,0.0
2438680.0,5.0,1682.4,-361.64,197.86,339.96,352.7,369.14,346.29,-75.69,349.14,510.24,0.0,0.12,0.12,0.0
2439062.0,5.0,1683.74,-364.27,198.14,-75.04,353.02,369.7,347.07,-75.75,349.26,509.52,0.0,0.12,0.12,0.0
2439400.0,5.0,1686.23,-361.83,677.09,-74.94,352.62,370.7,347.59,-75.62,-72.62,509.93,0.0,0.12,0.12,0.0
2439738.0,5.0,1496.08,-365.49,677.56,339.74,351.7,369.26,345.45,-75.71,-73.13,52.51,0.0,0.12,0.12,0.0
2440075.0,5.0,1682.88,-365.12,677.07,340.16,352.42,369.44,346.44,-75.46,-72.39,509.46,0.0,0.12,0.12,0.0
2440414.0,5.0,1689.38,-365.4,677.62,-74.91,352.16,370.64,347.15,-75.52,349.26,510.39,0.0,0.31,0.12,0.0
2440752.0,5.0,1493.78,-368.22,197.9,340.12,352.24,369.7,345.89,-76.56,-73.11,509.34,0.0,0.12,0.12,0.0
2441089.0,5.0,1681.45,-362.77,198.1,340.04,352.26,368.34,345.68,-75.62,-72.99,52.4,0.0,0.12,0.12,0.0
2441423.0,5.0,1684.5,-361.08,677.11,-118.22,353.28,369.5,347.01,-75.87,-72.62,509.5,0.0,0.12,0.12,0.0
2441761.0,5.0,1685.84,-363.99,678.21,-74.51,352.6,370.46,347.8,-75.52,349.46,510.59,0.0,0.12,0.12,0.0
2442098.0,5.0,-386.86,-363.9,677.5,340.02,352.24,370.16,347.01,-76.16,-72.27,510.04,0.0,0.12,0.12,0.0
2442433.0,5.0,1679.34,1758.9,198.06,339.75,352.44,369.04,346.1,-75.71,-72.68,510.39,0.0,0.12,0.12,0.0
2442769.0,5.0,1685.56,-365.59,676.89,-74.94,353.04,369.66,347.17,-75.96,-72.44,509.16,0.0,0.12,0.12,0.0
2443106.0,5.0,1690.72,-363.62,677.64,-74.18,352.62,370.64,347.66,-75.66,-72.58,509.73,0.0,0.12,0.12,0.0
2443445.0,5.0,-601.58,-361.08,198.04,339.72,351.78,369.2,346.19,-75.69,349.54,510.22,0.0,0.12,0.12,0.0
2443781.0,5.0,1683.55,-365.78,677.56,-74.64,352.36,368.98,346.56,357.07,-72.27,510.22,0.0,0.12,0.12,0.0
2444117.0,5.0,1687.47,-365.87,677.6,-74.96,352.36,370.7,347.19,-75.5,-73.81,509.44,0.0,0.12,0.12,0.0
2444455.0,5.0,1499.23,-579.87,197.94,340.19,351.9,369.52,345.81,-76.46,-72.91,509.54,0.0,0.12,0.12,0.0
2444793.0,5.0,1683.26,-366.43,676.91,-75.0,352.96,368.96,345.98,-76.0,349.79,509.89,0.0,0.12,0.12,0.0
2445130.0,5.0,1687.85,-362.77,677.15,-74.96,352.74,370.24,347.49,-76.12,349.16,510.7,0.0,0.12,0.12,0.0
2445469.0,5.0,1583.55,-367.09,677.76,339.56,352.34,370.0,346.17,-75.81,-72.85,52.44,0.0,0.12,0.12,0.0
2445828.0,5.0,1682.21,1757.02,677.11,339.18,352.76,368.52,345.96,-76.04,349.79,510.45,0.0,0.12,0.12,0.0
2446164.0,5.0,1683.64,-365.68,677.44,339.83,352.2,369.36,346.48,357.4,-72.43,510.53,0.0,0.12,0.12,0.0
2446500.0,5.0,1684.7,-363.8,677.3,-74.75,352.72,370.72,347.55,-75.73,-72.87,52.57,0.0,0.12,0.12,0.0
2446839.0,5.0,1685.75,-363.8,677.93,340.25,352.0,369.88,347.05,357.59,349.2,509.77,0.0,0.12,0.12,0.0
2447175.0,5.0,-396.52,-580.52,677.26,-118.13,351.88,369.6,345.72,-75.87,349.32,509.87,0.0,0.12,0.12,0.0
2447511.0,5.0,1679.44,-364.09,197.65,339.91,352.52,368.76,346.19,-76.44,349.28,510.84,0.0,0.12,0.12,0.0
2447849.0,5.0,1682.5,-366.71,198.08,339.95,352.36,368.54,345.79,-76.27,-73.17,509.11,0.0,0.12,0.12,0.0
2448187.0,5.0,1681.64,-363.99,677.24,-74.98,352.62,369.8,347.24,-76.02,-72.43,509.61,0.0,0.12,0.12,0.0
